annot1_idx,annot2_idx,distance,label1,label2
25,22,26.140397929001,lh_7Networks_LH_SomMot_10,rh_17Networks_3
26,22,38.6144205802833,lh_7Networks_LH_SomMot_11,rh_17Networks_3
27,4,27.9054629290974,lh_7Networks_LH_SomMot_12,lh_17Networks_3
28,22,23.0887331838786,lh_7Networks_LH_SomMot_13,rh_17Networks_3
29,4,32.8276912398094,lh_7Networks_LH_SomMot_14,lh_17Networks_3
30,25,34.0430371258967,lh_7Networks_LH_SomMot_15,rh_17Networks_6
31,4,16.0218629683169,lh_7Networks_LH_SomMot_16,lh_17Networks_3
32,34,47.7490046906384,lh_7Networks_LH_DorsAttn_Post_1,rh_17Networks_15
33,21,17.3635041396646,lh_7Networks_LH_DorsAttn_Post_2,rh_17Networks_2
34,6,36.9476377143137,lh_7Networks_LH_DorsAttn_Post_3,lh_17Networks_5
35,30,45.7580845196946,lh_7Networks_LH_DorsAttn_Post_4,rh_17Networks_11
36,7,36.7274672258667,lh_7Networks_LH_DorsAttn_Post_5,lh_17Networks_6
37,7,49.3892769599597,lh_7Networks_LH_DorsAttn_Post_6,lh_17Networks_6
38,24,56.6658358368496,lh_7Networks_LH_DorsAttn_Post_7,rh_17Networks_5
39,25,54.5982246097013,lh_7Networks_LH_DorsAttn_Post_8,rh_17Networks_6
40,12,42.7586841482096,lh_7Networks_LH_DorsAttn_Post_9,lh_17Networks_11
41,25,31.2972354379193,lh_7Networks_LH_DorsAttn_Post_10,rh_17Networks_6
42,4,54.2086517895314,lh_7Networks_LH_DorsAttn_FEF_1,lh_17Networks_3
43,4,58.6700978514026,lh_7Networks_LH_DorsAttn_FEF_2,lh_17Networks_3
44,13,59.7209574096681,lh_7Networks_LH_DorsAttn_PrCv_1,lh_17Networks_12
45,15,36.8785988372169,lh_7Networks_LH_SalVentAttn_ParOper_1,lh_17Networks_14
46,5,40.74346963091,lh_7Networks_LH_SalVentAttn_ParOper_2,lh_17Networks_4
47,30,19.3731742108843,lh_7Networks_LH_SalVentAttn_ParOper_3,rh_17Networks_11
48,19,25.365962826935,lh_7Networks_LH_SalVentAttn_FrOper_1,rh_FreeSurfer_Defined_Medial_Wall
49,29,26.1455931762413,lh_7Networks_LH_SalVentAttn_FrOper_2,rh_17Networks_10
50,19,45.5600226839239,lh_7Networks_LH_SalVentAttn_FrOper_3,rh_FreeSurfer_Defined_Medial_Wall
51,5,47.0347619629664,lh_7Networks_LH_SalVentAttn_FrOper_4,lh_17Networks_4
52,27,38.7856346397123,lh_7Networks_LH_SalVentAttn_PFCl_1,rh_17Networks_8
53,23,30.56961766074,lh_7Networks_LH_SalVentAttn_Med_1,rh_17Networks_4
54,12,36.1328114024548,lh_7Networks_LH_SalVentAttn_Med_2,lh_17Networks_11
55,31,52.4256096376513,lh_7Networks_LH_SalVentAttn_Med_3,rh_17Networks_12
56,11,29.0817369730806,lh_7Networks_LH_Limbic_OFC_1,lh_17Networks_10
57,11,6.94886530319305,lh_7Networks_LH_Limbic_OFC_2,lh_17Networks_10
58,10,14.0915411922159,lh_7Networks_LH_Limbic_TempPole_1,lh_17Networks_9
59,10,25.9316515574664,lh_7Networks_LH_Limbic_TempPole_2,lh_17Networks_9
60,10,26.3676966787816,lh_7Networks_LH_Limbic_TempPole_3,lh_17Networks_9
61,19,34.3414607416593,lh_7Networks_LH_Limbic_TempPole_4,rh_FreeSurfer_Defined_Medial_Wall
62,30,21.116010962723,lh_7Networks_LH_Cont_Par_1,rh_17Networks_11
63,6,51.3134584925314,lh_7Networks_LH_Cont_Par_2,lh_17Networks_5
64,30,35.4459548843439,lh_7Networks_LH_Cont_Par_3,rh_17Networks_11
65,34,24.5801283280017,lh_7Networks_LH_Cont_Temp_1,rh_17Networks_15
66,29,27.1672257348895,lh_7Networks_LH_Cont_PFCl_1,rh_17Networks_10
67,29,35.3713985614277,lh_7Networks_LH_Cont_PFCl_2,rh_17Networks_10
68,9,35.7689795441167,lh_7Networks_LH_Cont_PFCl_3,lh_17Networks_8
69,9,38.4458795751731,lh_7Networks_LH_Cont_PFCl_4,lh_17Networks_8
70,9,52.2027616221758,lh_7Networks_LH_Cont_PFCl_5,lh_17Networks_8
71,13,60.434999749392,lh_7Networks_LH_Cont_PFCl_6,lh_17Networks_12
72,12,34.0084424983205,lh_7Networks_LH_Cont_pCun_1,lh_17Networks_11
73,23,38.431982829834,lh_7Networks_LH_Cont_Cing_1,rh_17Networks_4
74,23,14.0825369852001,lh_7Networks_LH_Cont_Cing_2,rh_17Networks_4
75,10,29.7121082344738,lh_7Networks_LH_Default_Temp_1,lh_17Networks_9
76,34,33.7797480273465,lh_7Networks_LH_Default_Temp_2,rh_17Networks_15
77,19,36.9371010185842,lh_7Networks_LH_Default_Temp_3,rh_FreeSurfer_Defined_Medial_Wall
78,15,26.3827789689633,lh_7Networks_LH_Default_Temp_4,lh_17Networks_14
79,15,17.0874843750483,lh_7Networks_LH_Default_Temp_5,lh_17Networks_14
80,21,30.3691561388215,lh_7Networks_LH_Default_Temp_6,rh_17Networks_2
81,6,33.1586249162647,lh_7Networks_LH_Default_Temp_7,lh_17Networks_5
82,30,17.1547328162701,lh_7Networks_LH_Default_Temp_8,rh_17Networks_11
83,30,43.2676272291689,lh_7Networks_LH_Default_Temp_9,rh_17Networks_11
84,29,18.3528438992956,lh_7Networks_LH_Default_PFC_1,rh_17Networks_10
85,11,34.9402870212065,lh_7Networks_LH_Default_PFC_2,lh_17Networks_10
86,29,17.2655483124278,lh_7Networks_LH_Default_PFC_3,rh_17Networks_10
87,11,39.2043969785761,lh_7Networks_LH_Default_PFC_4,lh_17Networks_10
88,29,48.8866123611326,lh_7Networks_LH_Default_PFC_5,rh_17Networks_10
89,23,52.928505627184,lh_7Networks_LH_Default_PFC_6,rh_17Networks_4
90,27,50.4481925796316,lh_7Networks_LH_Default_PFC_7,rh_17Networks_8
91,23,31.6325633144394,lh_7Networks_LH_Default_PFC_8,rh_17Networks_4
92,27,51.1588106209928,lh_7Networks_LH_Default_PFC_9,rh_17Networks_8
93,23,52.6888575786159,lh_7Networks_LH_Default_PFC_10,rh_17Networks_4
94,27,55.5067760071511,lh_7Networks_LH_Default_PFC_11,rh_17Networks_8
95,27,51.5187076589758,lh_7Networks_LH_Default_PFC_12,rh_17Networks_8
96,31,55.2876932075834,lh_7Networks_LH_Default_PFC_13,rh_17Networks_12
97,33,24.856006896063,lh_7Networks_LH_Default_PCC_1,rh_17Networks_14
98,12,19.923950356797,lh_7Networks_LH_Default_PCC_2,lh_17Networks_11
99,12,36.0222408857007,lh_7Networks_LH_Default_PCC_3,lh_17Networks_11
100,12,15.5212558114763,lh_7Networks_LH_Default_PCC_4,lh_17Networks_11
101,28,36.0754102263107,lh_7Networks_LH_Default_PHC_1,rh_17Networks_9
102,19,0.369614307306145,rh_,rh_FreeSurfer_Defined_Medial_Wall
103,10,36.1351326593591,rh_7Networks_RH_Vis_1,lh_17Networks_9
104,10,35.4342665946442,rh_7Networks_RH_Vis_2,lh_17Networks_9
105,20,40.8065105942268,rh_7Networks_RH_Vis_3,rh_17Networks_1
106,34,24.4698542558248,rh_7Networks_RH_Vis_4,rh_17Networks_15
107,2,20.5315782734212,rh_7Networks_RH_Vis_5,lh_17Networks_1
108,20,20.5730933969236,rh_7Networks_RH_Vis_6,rh_17Networks_1
109,15,32.9440555410015,rh_7Networks_RH_Vis_7,lh_17Networks_14
110,2,12.3902633356069,rh_7Networks_RH_Vis_8,lh_17Networks_1
111,21,9.20319179865719,rh_7Networks_RH_Vis_9,rh_17Networks_2
112,21,19.8740258968124,rh_7Networks_RH_Vis_10,rh_17Networks_2
113,2,25.8925635203396,rh_7Networks_RH_Vis_11,lh_17Networks_1
114,6,29.3451724448321,rh_7Networks_RH_Vis_12,lh_17Networks_5
115,21,33.5564389968915,rh_7Networks_RH_Vis_13,rh_17Networks_2
116,6,40.6254098753359,rh_7Networks_RH_Vis_14,lh_17Networks_5
117,6,23.2785419550623,rh_7Networks_RH_Vis_15,lh_17Networks_5
118,1,29.6827347188185,rh_7Networks_RH_SomMot_1,lh_FreeSurfer_Defined_Medial_Wall
